Spot,date,time,range,height,swell_dir,swell_angle,period,wind_kmh,wind_dir,wind,wind_angle,temp,Conditions
Nazare,13/03,6am,14-22ft,11.5ft,NW,311,13s,16,NNW,Onshore,344,11°c,Epic
Nazare,13/03,12pm,18-26ft,12ft,NW,311,17s,12,NNW,Onshore,341,13°c,Epic
Nazare,13/03,6pm,16-26ft,12ft,NW,312,16s,19,N,Onshore,350,12°c,Epic
Nazare,14/03,6am,12-20ft,10ft,NW,316,13s,13,N,Cross/Onshore,5,9°c,Epic
Nazare,14/03,12pm,12-18ft,8.5ft,NW,316,13s,5,NNW,Onshore,336,20°c,Epic
Nazare,14/03,6pm,12-18ft,8.5ft,NW,315,13s,11,NNW,Onshore,347,13°c,Epic
Nazare,15/03,6am,10-16ft,7ft,NW,311,12s,12,NNW,Onshore,339,10°c,Epic
Nazare,15/03,12pm,9-13ft,6.5ft,NW,311,11s,14,NNW,Onshore,329,14°c,Epic
Nazare,15/03,6pm,7-11ft,4.5ft,NW,305,11s,23,NNW,Onshore,334,10°c,Epic
Nazare,16/03,6am,14-22ft,12ft,NW,315,12s,27,NNW,Onshore,346,9°c,Epic
Nazare,16/03,12pm,14-20ft,11.5ft,NW,317,12s,30,NNW,Onshore,346,13°c,Epic
Nazare,16/03,6pm,14-20ft,12ft,NW,320,12s,31,NNW,Onshore,346,11°c,Epic
Nazare,17/03,6am,10-16ft,9ft,NW,320,11s,15,NE,Cross/Offshore,37,6°c,Epic
Nazare,17/03,12pm,9-14ft,7.5ft,NW,320,10s,22,E,Offshore,84,17°c,Epic
Nazare,17/03,6pm,8-12ft,6.5ft,NW,322,10s,10,N,Onshore,357,15°c,Epic
Nazare,18/03,6am,10-16ft,7ft,NW,307,14s,34,ENE,Offshore,76,12°c,Epic
Nazare,18/03,12pm,10-16ft,7ft,WNW,303,13s,15,E,Offshore,88,20°c,Epic
Nazare,18/03,6pm,10-14ft,6.5ft,WNW,303,13s,10,N,Onshore,356,17°c,Epic
Nazare,19/03,6am,10-16ft,6ft,NW,308,15s,9,ESE,Offshore,120,10°c,Epic
Nazare,19/03,12pm,12-20ft,8.5ft,NW,307,15s,6,E,Offshore,99,21°c,Epic
Nazare,19/03,6pm,12-18ft,8ft,NW,308,15s,10,NNW,Onshore,338,14°c,Epic
Nazare,20/03,6am,10-16ft,7ft,NW,309,13s,8,NW,Onshore,312,11°c,Epic
Nazare,20/03,12pm,12-18ft,8ft,NW,307,13s,6,WNW,Onshore,292,12°c,Epic
Nazare,20/03,6pm,12-18ft,8.5ft,NW,308,12s,2,NW,Onshore,309,10°c,Epic
Nazare,21/03,6am,9-14ft,6.5ft,NW,310,11s,5,SSE,Offshore,150,6°c,Epic
Nazare,21/03,12pm,8-13ft,6ft,NW,309,11s,4,SSE,Offshore,149,15°c,Epic
Nazare,21/03,6pm,8-12ft,5.5ft,NW,309,11s,8,NW,Onshore,323,11°c,Epic
Nazare,22/03,6am,5-8ft,3.5ft,WNW,284,8s,4,ESE,Offshore,105,7°c,Epic
Nazare,22/03,12pm,5-8ft,3.5ft,NW,323,10s,5,NW,Onshore,317,16°c,Epic
Nazare,22/03,6pm,4-6ft,2.5ft,NW,311,9s,5,NW,Onshore,325,12°c,Epic
Nazare,23/03,6am,6-9ft,3.5ft,WNW,289,11s,4,NE,Cross/Offshore,42,8°c,Epic
Nazare,23/03,12pm,6-9ft,4ft,WNW,296,10s,9,E,Offshore,79,18°c,Epic
Nazare,23/03,6pm,6-9ft,4ft,NW,304,10s,15,N,Onshore,353,14°c,Epic
Nazare,24/03,6am,6-10ft,5ft,NW,324,9s,28,E,Offshore,93,10°c,Epic
Nazare,24/03,12pm,12-18ft,6ft,WNW,295,19s,16,NE,Offshore,54,19°c,Epic
Nazare,24/03,6pm,14-22ft,8.5ft,WNW,303,17s,16,NNE,Cross/Onshore,16,15°c,Epic
Nazare,25/03,6am,12-18ft,7.5ft,WNW,300,15s,2,E,Offshore,95,9°c,Epic
Nazare,25/03,12pm,10-16ft,7ft,WNW,300,14s,8,WNW,Onshore,303,18°c,Epic
Nazare,25/03,6pm,10-16ft,7ft,WNW,301,13s,15,NNW,Onshore,339,13°c,Epic
Nazare,26/03,6am,10-18ft,7ft,NW,304,14s,13,N,Onshore,353,9°c,Epic
Nazare,26/03,12pm,10-18ft,7.5ft,NW,304,13s,12,NW,Onshore,312,14°c,Epic
Nazare,26/03,6pm,12-18ft,8.5ft,NW,304,13s,18,NNW,Onshore,327,12°c,Epic
Nazare,27/03,6am,12-20ft,9ft,NW,312,14s,15,NNW,Onshore,340,8°c,Epic
Nazare,27/03,12pm,12-18ft,8ft,NW,313,13s,5,WSW,Onshore,251,16°c,Epic
Nazare,27/03,6pm,10-16ft,7ft,NW,313,13s,6,NNW,Onshore,331,11°c,Epic
