Spot,date,time,range,height_ft,swell_dir,swell_angle,period_sec,wind_kmh,wind_dir,wind,wind_angle,temp_°c,Conditions,Location,Longitud,Latitude
Mosca Point,27/01,6pm,1ft,1.5,N,9,7,8,NNE,Onshore,26,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,28/01,6am,1ft,1.8,NE,37,5,7,E,Onshore,93,11,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,28/01,12pm,1-2ft,1.8,NE,43,5,5,E,Onshore,95,18,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,28/01,6pm,Plano,1.6,NNW,337,15,4,ESE,Onshore,111,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,29/01,6am,Plano,0.5,SSW,199,12,3,SSE,Onshore,148,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,29/01,12pm,Plano,0.5,SSW,198,12,6,SSE,Cross/Onshore,158,21,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,29/01,6pm,Plano,4.5,NNW,343,15,4,SSE,Onshore,150,20,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,30/01,6am,Plano,0.5,SSW,197,12,5,ESE,Onshore,115,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,30/01,12pm,Plano,4.0,NNW,343,15,9,SE,Onshore,131,22,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,30/01,6pm,Plano,0.5,SSW,199,11,7,SE,Onshore,135,20,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,31/01,6am,Plano,0.7,WNW,286,10,5,ESE,Onshore,117,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,31/01,12pm,Plano,2.5,NNW,344,13,10,SE,Onshore,126,21,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,31/01,6pm,0-1ft,0.7,ESE,107,4,5,E,Onshore,99,19,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,01/02,6am,0-1ft,0.5,E,91,3,6,NNE,Cross/Onshore,23,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,01/02,12pm,0-1ft,0.7,E,83,3,6,ENE,Onshore,72,20,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,01/02,6pm,Plano,1.0,NW,313,15,6,ENE,Onshore,65,18,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,02/02,6am,Plano,0.7,NNW,344,11,6,E,Onshore,100,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,02/02,12pm,1ft,0.9,ESE,110,4,11,SE,Onshore,140,22,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,02/02,6pm,1ft,1.1,E,87,4,8,SE,Onshore,140,21,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,03/02,6am,Plano,1.4,NW,324,11,6,SSE,Cross/Onshore,164,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,03/02,12pm,1ft,1.4,ESE,109,4,14,SSE,Onshore,155,22,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,03/02,6pm,1-2ft,1.8,ESE,114,4,12,SE,Onshore,142,21,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,04/02,6am,1-2ft,2.0,E,99,5,10,SSE,Onshore,151,16,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,04/02,12pm,2-3ft,3.0,ESE,105,5,19,SSE,Cross/Onshore,156,21,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,04/02,6pm,1-2ft,2.0,E,93,5,13,S,Cross/Onshore,169,21,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,05/02,6am,0-1ft,1.4,SSE,169,5,9,SSW,Cross/Offshore,197,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,05/02,12pm,0-1ft,1.2,S,170,5,7,SSE,Onshore,151,22,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,05/02,6pm,Plano,1.1,S,174,5,9,N,Cross-shore,0,19,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,06/02,6am,Plano,1.1,NNW,347,10,9,NNW,Cross/Offshore,341,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,06/02,12pm,Plano,1.0,NNW,344,10,6,N,Cross/Onshore,9,19,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,06/02,6pm,Plano,1.1,N,354,13,7,N,Cross-shore,359,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,07/02,6am,0-1ft,1.5,N,353,12,11,N,Cross-shore,355,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,07/02,12pm,0-1ft,1.4,N,355,13,7,NNE,Cross/Onshore,15,18,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,07/02,6pm,0-1ft,1.8,N,355,10,12,N,Cross/Onshore,8,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,08/02,6am,0-1ft,1.4,NNE,13,4,13,N,Cross/Onshore,6,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,08/02,12pm,1ft,1.7,NNE,23,4,10,NE,Onshore,35,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,08/02,6pm,1ft,1.9,NNE,25,4,14,N,Cross/Onshore,11,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,09/02,6am,1-2ft,2.5,NNE,32,5,13,N,Cross-shore,4,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,09/02,12pm,1-2ft,3.0,NNE,25,5,17,N,Cross/Onshore,9,16,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,09/02,6pm,1-2ft,3.0,NNE,26,5,18,N,Cross/Onshore,10,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,10/02,6am,2-3ft,3.5,NE,37,6,12,NNE,Onshore,30,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,10/02,12pm,2-3ft,3.5,NE,37,6,10,NE,Onshore,48,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,10/02,6pm,2ft,3.0,NE,36,6,5,ENE,Onshore,63,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,11/02,6am,1-2ft,2.5,NNE,31,7,7,NE,Onshore,42,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,11/02,12pm,Plano,3.0,NNW,328,14,11,ENE,Onshore,78,19,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,11/02,6pm,Plano,2.5,NW,325,13,5,NNE,Onshore,26,19,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,12/02,6am,Plano,2.5,NNW,342,19,6,ENE,Onshore,68,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,12/02,12pm,Plano,2.5,NNW,336,14,9,SE,Onshore,133,21,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,12/02,6pm,Plano,2.0,WNW,303,15,3,NE,Onshore,53,20,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,13/02,6am,Plano,1.6,WNW,302,14,4,SE,Onshore,128,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,13/02,12pm,Plano,4.5,NNW,343,15,9,ESE,Onshore,106,21,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,13/02,6pm,Plano,4.5,NNW,345,15,9,ESE,Onshore,120,19,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,14/02,6am,1ft,1.2,E,95,4,8,SE,Onshore,140,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,14/02,12pm,1ft,1.4,E,83,4,8,SE,Onshore,128,21,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,14/02,6pm,Plano,3.0,NNW,345,13,4,ESE,Onshore,109,20,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,15/02,6am,1ft,1.5,NE,51,4,9,NNE,Cross/Onshore,21,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,15/02,12pm,Plano,3.0,NW,325,20,9,NE,Onshore,44,18,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,15/02,6pm,1ft,1.7,NE,44,5,10,NNE,Cross/Onshore,17,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,16/02,6am,1-2ft,2.5,NE,34,5,11,NNE,Cross/Onshore,19,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,16/02,12pm,1-2ft,2.0,NE,37,5,9,NNE,Onshore,33,19,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,16/02,6pm,1-2ft,2.0,NNE,31,5,9,NNE,Cross/Onshore,13,17,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,17/02,6am,1-2ft,2.5,NNE,31,5,8,NNE,Cross/Onshore,17,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,17/02,12pm,1-2ft,2.5,NNE,29,6,9,NNE,Onshore,32,20,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
